,country,name,full_name,isin,currency,symbol
162,brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BRBBDCACNPR8,BRL,BBDC4
163,brazil,BR BROKERS ON,Brasil Brokers Participacoes SA,BRBBRKACNOR4,BRL,BBRK3
164,brazil,MINERVA ON,Minerva SA/Brazil,BRBEEFACNOR6,BRL,BEEF3
165,brazil,BR PHARMA ON,Brasil Pharma SA,BRBPHAACNOR6,BRL,BPHA3
166,brazil,BANCO PAN SA PN,Banco Pan SA,BRBPANACNPR1,BRL,BPAN4
167,brazil,BRADESPAR ON,Bradespar SA,BRBRAPACNOR5,BRL,BRAP3
168,brazil,BRADESPAR PN,Bradespar SA,BRBRAPACNPR2,BRL,BRAP4
169,brazil,BRF SA ON,BRF SA,BRBRFSACNOR8,BRL,BRFS3
170,brazil,BR Insurance Corretora,BR Insurance Corretora de Seguros SA,BRAPERACNOR9,BRL,APER3
171,brazil,BRASKEM ON,Braskem SA,BRBRKMACNOR1,BRL,BRKM3
172,brazil,BRASKEM PNA,Braskem SA,BRBRKMACNPA4,BRL,BRKM5
173,brazil,BR MALLS PAR ON,BR Malls Participacoes SA,BRBRMLACNOR9,BRL,BRML3
174,brazil,BR PROPERT ON,BR Properties SA,BRBRPRACNOR9,BRL,BRPR3
175,brazil,BANRISUL PNB,BANRISUL PNB N1,BRBRSRACNPB4,BRL,BRSR6
176,brazil,OI ON N1,Oi SA,BROIBRACNOR1,BRL,OIBR3
177,brazil,OI PN,Oi SA Pref,BROIBRACNPR8,BRL,OIBR4
178,brazil,B2W DIGITAL ON,B2W Cia Digital,BRBTOWACNOR8,BRL,BTOW3
179,brazil,B3 SA Brasil Bolsa Balcao,B3 SA Brasil Bolsa Balcao,BRB3SAACNOR6,BRL,B3SA3
180,brazil,CAMBUCI PN,Cambuci SA,BRCAMBACNPR1,BRL,CAMB4
181,brazil,CSU CARDSYST ON,CSU Cardsystem SA,BRCARDACNOR9,BRL,CARD3
182,brazil,CYRE COM-CCP ON,Cyrela Commercial Properties SA,BRCCPRACNOR9,BRL,CCPR3
183,brazil,CCR SA ON,CCR SA,BRCCROACNOR2,BRL,CCRO3
184,brazil,CEDRO PN,CEDRO PN N1,BRCEDOACNPR5,BRL,CEDO4
185,brazil,CEEE-D ON,CEEE-D ON N1,BRCEEDACNOR9,BRL,CEED3
